Person_ID,Study_ID,Site_no,Site_ID,Site_name,Country,Detailed_location,Latitude_deg,Latitude_min,Latitude_sec,Longitude_deg,Longitude_min,Longitude_sec,Lat_dec_deg,Lon_dec_deg,Habitat_type,Habitat_type_combined,Habitat_type_combined2,forest_biome,historical_fire_frequency,baseline_disturbance,plantation,exp_obs,before_after,controlled,blocked/paired,randomized,plot_area,location_source,historical_fire_frequency_biome,Internal_validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Sackmann_2006,3,Sackmann_2006_3,Nahuel Huapi National Park,Argentina,"Nahuel Huapi National 
Park, Bariloche",,,,,,,-41.13,-71.31,Grassland,Grassland,Grassland,,10,,,Observational,FALSE,TRUE,TRUE,FALSE,1250,Derived from location description,123,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Polchaninova_2016,1,Polchaninova_2016_1,Galich’ya Gora,Russian Federation,"“Galich’ya Gora” Nature Reserve (Lipetsk Region, Russia) located in the east of the Central Russian Upland (2011)",52,36,28,38,55,16,52.61,38.92,Grassland,Grassland,Grassland,,-999,,,Observational,FALSE,TRUE,FALSE,FALSE,60,Precise location in paper,123,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Polchaninova_2016,2,Polchaninova_2016_2,Galich’ya Gora,Russian Federation,"“Galich’ya Gora” Nature Reserve (Lipetsk Region, Russia) located in the east of the Central Russian Upland (2012)",52,36,28,38,55,16,52.61,38.92,Grassland,Grassland,Grassland,,-999,,,Observational,FALSE,TRUE,FALSE,FALSE,60,Precise location in paper,123,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Vieira_2008,1,Vieira_2008_1,Guriri Island,Brazil,"Guriri Island, within the boundaries of the Sao Mateus river delta, Esp ˜ ´?rito Santo State (undisturbed
restinga forest vs disturbed restinga) ",-18,-45,,-39,-44,,-18.75,-39.73,Tropical evergreen broadleaf forest,Forest,Forest,,-999,,,Observational,FALSE,TRUE,FALSE,FALSE,-999,Precise location in paper,148,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Vieira_2008,2,Vieira_2008_2,Guriri Island,Brazil,"Guriri Island, within the boundaries of the Sao Mateus river delta, Esp ˜ ´?rito Santo State (undisturbed clusia 
restinga vs disturbed restinga) ",-18,-45,,-39,-44,,-18.75,-39.73,Scrub,Scrub,Scrub,,-999,,,Observational,FALSE,TRUE,FALSE,FALSE,-999,Precise location in paper,12,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Campbell_2007,1,Campbell_2007_1,Green River,United States of America,"Green
River Game Management Area in the Blue Ridge Mountain
Province near Hendersonville, NC (control vs burn)",,,,,,,35.72,-82.37,Temperate deciduous broadleaf forest,Forest,Forest,,-999,,,Experimental,FALSE,TRUE,TRUE,TRUE,100000,Derived from location description,190,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Davis_1998,1,Davis_1998_1,Lynn County,United States of America,"2 km south and 12 km east of the 
city of Tahoka in Lynn County, Texas",,,,,,,33.15,-101.81,Grassland,Grassland,Grassland,,-999,,,Experimental,FALSE,TRUE,FALSE,TRUE,88000,Derived from location description,123,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Davis_1998,2,Davis_1998_2,Lynn County,United States of America,"2 km south and 12 km east of the 
city of Tahoka in Lynn County, Texas",,,,,,,33.15,-101.81,Grassland,Grassland,Grassland,,-999,,,Experimental,FALSE,TRUE,FALSE,TRUE,88001,Derived from location description,123,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Davis_1998,3,Davis_1998_3,Lynn County,United States of America,"2 km south and 12 km east of the 
city of Tahoka in Lynn County, Texas",,,,,,,33.15,-101.81,Grassland,Grassland,Grassland,,-999,,,Experimental,FALSE,TRUE,FALSE,TRUE,88002,Derived from location description,123,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Davis_1998,4,Davis_1998_4,Lynn County,United States of America,"2 km south and 12 km east of the 
city of Tahoka in Lynn County, Texas",,,,,,,33.15,-101.81,Grassland,Grassland,Grassland,,-999,,,Experimental,FALSE,TRUE,FALSE,TRUE,88003,Derived from location description,123,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Davis_1998,5,Davis_1998_5,Lynn County,United States of America,"2 km south and 12 km east of the 
city of Tahoka in Lynn County, Texas",,,,,,,33.15,-101.81,Grassland,Grassland,Grassland,,-999,,,Experimental,FALSE,TRUE,FALSE,TRUE,88004,Derived from location description,123,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Collett_1995,1,Collett_1995_1,Blakeville,Australia," study area is 
known locally as ‘Blakeville’
and is located approximately 18 km south of the city 
of Daylesford in south-central Victoria. ",-37,-31,,144,10,,-37.52,144.17,Evergreen needleleaf forest,Forest,Forest,,-999,,,Experimental,FALSE,TRUE,TRUE,FALSE,153500,Precise location in paper,291,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Brown_2016,1,Brown_2016_1,South-west Victoria,Australia,"south-west
Victoria",,,,,,,-37.13,142.52,Woodland,Woodland,Forest,,-999,,,Observational,FALSE,TRUE,FALSE,FALSE,-999,Derived from location description,89,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Brown_2016,2,Brown_2016_2,South-west Victoria,Australia,"south-west
Victoria",,,,,,,-37.13,142.52,Woodland,Woodland,Forest,,-999,,,Observational,FALSE,TRUE,FALSE,FALSE,-999,Derived from location description,89,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Brown_2016,3,Brown_2016_3,South-west Victoria,Australia,"south-west
Victoria",,,,,,,-37.13,142.52,Woodland,Woodland,Forest,,-999,,,Observational,FALSE,TRUE,FALSE,FALSE,-999,Derived from location description,89,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Brown_2016,4,Brown_2016_4,South-west Victoria,Australia,"south-west
Victoria",,,,,,,-37.13,142.52,Woodland,Woodland,Forest,,-999,,,Observational,FALSE,TRUE,FALSE,FALSE,-999,Derived from location description,89,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Higgins_2014,1,Higgins_2014_1,Mesa Verde National Park,United States of America,"southern
portion of Mesa Verde National Park on Park and
Chapin Mesas (Fig. 1). Mesa Verde National Park
is located in Montezuma County, Colorado (Chapin Mesa old growth vs Chapin Mesa burn)",,,,,,,37.34,-108.41,Woodland,Woodland,Forest,,-999,,,Observational,FALSE,TRUE,TRUE,TRUE,3600,Derived from location description,89,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Higgins_2014,2,Higgins_2014_2,Mesa Verde National Park,United States of America,"southern
portion of Mesa Verde National Park on Park and
Chapin Mesas (Fig. 1). Mesa Verde National Park
is located in Montezuma County, Colorado (Park Mesa vs burn)",,,,,,,37.34,-108.41,Woodland,Woodland,Forest,,-999,,,Observational,FALSE,TRUE,FALSE,TRUE,3600,Derived from location description,89,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
