Person_ID,Site_ID,taxonomic_group,detailed_outcome,outcome_units,outcome_notes,sampling_method,processing_method,sample_area,sample_depth,fire_severity,comparison_type,last_burned_control,last_burned_treatment,control_mean,control_var,control_n,treatment_mean,treatment_var,treatment_n,before_control_mean,before_control_var,before_control_n,before_treatment_mean,before_treatment_var,before_treatment_n,var_type,comparison_location,precise_p_value,approximate_p_value,control_mean_conservative,treatment_mean_conservative,control_mean_estimate,Control_var_estimate,treatment_mean_estimate,treatment_var_estimate,ag_severity_reported,ag_severity_units,ag_severity_index,bg_severity_reported,bg_severity_units,bg_severity_index,Control_mean_combined,Control_var_combined,Treatment_mean_combined,Treatment_var_combined
Niamh,Beucke_2009_1,Scarabaeoidea,density of individuals,Number of individuals,G. egeriei Germar,pitfall traps,NA,NA,0,,unburned vs burned,-999,333,95.25,,4,27.75,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,95.25,27.75,,,,,,,,,,,95.25,,27.75,
Niamh,Beucke_2009_2,Scarabaeoidea,density of individuals,Number of individuals,G. egeriei Germar,pitfall traps,NA,NA,0,,unburned vs burned,-999,333,25.75,,4,23,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,25.75,23,,,,,,,,,,,25.75,,23,
Niamh,Beucke_2009_1,Scarabaeoidea,density of individuals,Number of individuals,G. hornii Blanchard,pitfall traps,NA,NA,0,,unburned vs burned,-999,333,0,,4,0,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,0.0000001,0.0000001,,,,,,,,,,,0,,0,
Niamh,Beucke_2009_2,Scarabaeoidea,density of individuals,Number of individuals,G. hornii Blanchard,pitfall traps,NA,NA,0,,unburned vs burned,-999,333,2.25,,4,1,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,2.25,1,,,,,,,,,,,2.25,,1,
Niamh,Beucke_2009_3,Scarabaeoidea,density of individuals,Number of individuals,Copris fricator (F.),pitfall traps,NA,NA,0,,unburned vs burned,-999,333,0,,4,0.25,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,0.0000001,0.25,,,,,,,,,,,0,,0.25,
Niamh,Beucke_2009_3,Scarabaeoidea,density of individuals,Number of individuals,C. minutus (Drury),pitfall traps,NA,NA,0,,unburned vs burned,-999,333,20.75,,4,102.75,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,20.75,102.75,,,,,,,,,,,20.75,,102.75,
Niamh,Beucke_2009_3,Scarabaeoidea,density of individuals,Number of individuals,Canthon bispinatus (Robinson),pitfall traps,NA,NA,0,,unburned vs burned,-999,333,24.75,,4,19.75,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,24.75,19.75,,,,,,,,,,,24.75,,19.75,
Niamh,Beucke_2009_3,Scarabaeoidea,density of individuals,Number of individuals,Onthophagus hecate (Panzer),pitfall traps,NA,NA,0,0,unburned vs burned,-999,333,54.75,,4,2.25,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,54.75,2.25,,,,,,,,,,,54.75,,2.25,
Niamh,Beucke_2009_3,Scarabaeoidea,density of individuals,Number of individuals,O. nuchicornis (L.),pitfall traps,NA,NA,0,,unburned vs burned,-999,333,0.5,,4,0.75,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,0.5,0.75,,,,,,,,,,,0.5,,0.75,
Niamh,Beucke_2009_3,Scarabaeoidea,density of individuals,Number of individuals,O. orpheus (Panzer) (subspecies undet.),pitfall traps,NA,NA,0,,unburned vs burned,-999,333,0,,4,0,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,0.0000001,0.0000001,,,,,,,,,,,0,,0,
Niamh,Beucke_2009_3,Scarabaeoidea,density of individuals,Number of individuals,O. pennsylvanicus Harold,pitfall traps,NA,NA,0,,unburned vs burned,-999,333,0.25,,4,0,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,0.25,0.0000001,,,,,,,,,,,0.25,,0,
Niamh,Beucke_2009_3,Scarabaeoidea,density of individuals,Number of individuals,O. striatulus (Palisot de Beauvois),pitfall traps,NA,NA,0,,unburned vs burned,-999,333,0,,4,0,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,0.0000001,0.0000001,,,,,,,,,,,0,,0,
Niamh,Beucke_2009_3,Scarabaeoidea,density of individuals,Number of individuals,O. subaeneus (Palisot de Beauvois),pitfall traps,NA,NA,0,,unburned vs burned,-999,333,0.5,,4,0,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,0.5,0.0000001,,,,,,,,,,,0.5,,0,
Niamh,Beucke_2009_3,Scarabaeoidea,density of individuals,Number of individuals,O. taurus (Schreber),pitfall traps,NA,NA,0,,unburned vs burned,-999,333,0,,4,0,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,0.0000001,0.0000001,,,,,,,,,,,0,,0,
Niamh,Beucke_2009_3,Scarabaeoidea,density of individuals,Number of individuals,O. tuberculifrons Harold,pitfall traps,NA,NA,0,,unburned vs burned,-999,333,8,,4,7.75,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,8,7.75,,,,,,,,,,,8,,7.75,
Niamh,Beucke_2009_3,Scarabaeoidea,density of individuals,Number of individuals,Geotrupes blackburnii blackburnii (F.),pitfall traps,NA,NA,0,,unburned vs burned,-999,333,0,,4,0,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,0.0000001,0.0000001,,,,,,,,,,,0,,0,
Niamh,Beucke_2009_3,Scarabaeoidea,density of individuals,Number of individuals,G. egeriei Germar,pitfall traps,NA,NA,0,,unburned vs burned,-999,333,104.25,,4,27.75,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,104.25,27.75,,,,,,,,,,,104.25,,27.75,
Niamh,Beucke_2009_3,Scarabaeoidea,density of individuals,Number of individuals,G. hornii Blanchard,pitfall traps,NA,NA,0,,unburned vs burned,-999,333,0,,4,0,,4,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,0.0000001,0.0000001,,,,,,,,,,,0,,0,
Niamh,Seastedt_1984_1,Scarabaeoidea,density of individuals,Number of individuals,Larvae,soil monolith,hand sorting,10000.00,20,,unburned vs burned,1825,305,8.3,,30,22,,30,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,8.3,22,,,,,,,,,,,8.3,,22,
Niamh,Seastedt_1984_1,Scarabaeoidea,density of individuals,Number of individuals,Adults,soil monolith,hand sorting,10000.00,20,,unburned vs burned,1825,305,1.7,,30,0.7,,30,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,1.7,0.7,,,,,,,,,,,1.7,,0.7,
Niamh,Seastedt_1984_1,Scarabaeoidea,biomass,Biomass (g/m2),Larvae,soil monolith,hand sorting,10000.00,20,,unburned vs burned,1825,305,1.3,,30,3.3,,30,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,1.3,3.3,,,,,,,,,,,1.3,,3.3,
Niamh,Seastedt_1984_1,Scarabaeoidea,biomass,Biomass (g/m2),Adults,soil monolith,hand sorting,10000.00,20,,unburned vs burned,1825,305,0.3,,30,0.1,,30,-999,-999,-999,-999,-999,-999,No variability measure reported,Table 1,,,0.3,0.1,,,,,,,,,,,0.3,,0.1,
Niamh,Collett_2000_1,Scarabaeoidea,density of individuals,Number of individuals,,pitfall traps,NA,2.54,0,,unburned vs burned,35040,201,0.05,,20,0.4,,20,-999,-999,-999,-999,-999,20,No variability measure reported,Table 1,,,0.05,0.4,,,,,High,Categorical,90,High,Categorical,90,0.05,,0.4,
Niamh,Collett_2000_2,Scarabaeoidea,density of individuals,Number of individuals,,pitfall traps,NA,2.54,0,,unburned vs burned,30660,201,0.05,,20,1.5,,20,-999,-999,-999,-999,-999,20,No variability measure reported,Table 1,,,0.05,1.5,,,,,High,Categorical,90,High,Categorical,90,0.05,,1.5,
Niamh,Rodrigo_2008_1,Scarabaeoidea,density of individuals,Number of individuals,Aphodius sp. 1,pitfall traps,NA,28.27,0,,unburned vs burned,-999,365,0,,15,0,,15,-999,-999,-999,-999,-999,-999,No variability measure reported,Appendix II,,,0.0000001,0.0000001,,,,,Tree cover,%,5,Bare soil,%,95,0,,0,
Niamh,Rodrigo_2008_2,Scarabaeoidea,density of individuals,Number of individuals,Aphodius sp. 1,pitfall traps,NA,28.27,0,,unburned vs burned,-999,1825,0,,15,0,,15,-999,-999,-999,-999,-999,-999,No variability measure reported,Appendix II,,,0.0000001,0.0000001,,,,,Tree cover,%,10,Bare soil,%,61,0,,0,
Niamh,Rodrigo_2008_3,Scarabaeoidea,density of individuals,Number of individuals,Aphodius sp. 1,pitfall traps,NA,28.27,0,,unburned vs burned,-999,4745,0,,15,0,,15,-999,-999,-999,-999,-999,-999,No variability measure reported,Appendix II,,,0.0000001,0.0000001,,,,,Tree cover,%,23,Bare soil,%,0,0,,0,
Niamh,Rodrigo_2008_4,Scarabaeoidea,density of individuals,Number of individuals,Aphodius sp. 1,pitfall traps,NA,28.27,0,,unburned vs burned,-999,6935,1,,15,0,,15,-999,-999,-999,-999,-999,-999,No variability measure reported,Appendix II,,,1,0.0000001,,,,,Tree cover,%,36,Bare soil,%,0,1,,0,
Niamh,Rodrigo_2008_5,Scarabaeoidea,density of individuals,Number of individuals,Aphodius sp. 1,pitfall traps,NA,28.27,0,,unburned vs burned,-999,365,0,,15,0,,15,-999,-999,-999,-999,-999,-999,No variability measure reported,Appendix II,,,0.0000001,0.0000001,,,,,Tree cover,%,100,Bare soil,%,217,0,,0,
Niamh,Rodrigo_2008_6,Scarabaeoidea,density of individuals,Number of individuals,Aphodius sp. 1,pitfall traps,NA,28.27,0,,unburned vs burned,-999,1825,0,,15,4,,15,-999,-999,-999,-999,-999,-999,No variability measure reported,Appendix II,,,0.0000001,4,,,,,Tree cover,%,100,Bare soil,%,0,0,,4,
Niamh,Rodrigo_2008_7,Scarabaeoidea,density of individuals,Number of individuals,Aphodius sp. 1,pitfall traps,NA,28.27,0,,unburned vs burned,-999,4745,0,,15,0,,15,-999,-999,-999,-999,-999,-999,No variability measure reported,Appendix II,,,0.0000001,0.0000001,,,,,Tree cover,%,84,Bare soil,%,171,0,,0,
Niamh,Rodrigo_2008_8,Scarabaeoidea,density of individuals,Number of individuals,Aphodius sp. 1,pitfall traps,NA,28.27,0,,unburned vs burned,-999,6935,1,,15,0,,15,-999,-999,-999,-999,-999,-999,No variability measure reported,Appendix II,,,1,0.0000001,,,,,Tree cover,%,57,Bare soil,%,0,1,,0,
Niamh,Rodrigo_2008_1,Scarabaeoidea,density of individuals,Number of individuals,Aphodius sp. 2,pitfall traps,NA,28.27,0,,unburned vs burned,-999,365,0,,15,0,,15,-999,-999,-999,-999,-999,-999,No variability measure reported,Appendix II,,,0.0000001,0.0000001,,,,,Tree cover,%,5,Bare soil,%,95,0,,0,
Niamh,Rodrigo_2008_2,Scarabaeoidea,density of individuals,Number of individuals,Aphodius sp. 2,pitfall traps,NA,28.27,0,,unburned vs burned,-999,1825,2,,15,0,,15,-999,-999,-999,-999,-999,-999,No variability measure reported,Appendix II,,,2,0.0000001,,,,,Tree cover,%,10,Bare soil,%,61,2,,0,
Niamh,Rodrigo_2008_3,Scarabaeoidea,density of individuals,Number of individuals,Aphodius sp. 2,pitfall traps,NA,28.27,0,,unburned vs burned,-999,4745,0,,15,0,,15,-999,-999,-999,-999,-999,-999,No variability measure reported,Appendix II,,,0.0000001,0.0000001,,,,,Tree cover,%,23,Bare soil,%,0,0,,0,
